project_path,project_type,build_method,target_framework,unity_version,note,host_dotnet_version,host_msbuild_version,host_unity_version
E:\1_my_project\dataset\repos\Eusth_VRGIN\VRGIN\VRGIN.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Eusth_VRGIN\VRGIN\VRGIN.U46.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ExtendRealityLtd_VRTK,unity,unity,,2020.3.33f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Faceplant-Games_epicslash,unity,unity,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Facepunch_sbox-tabletennis-vr,unity,unity,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\FarahKamleh_Group4.Project3\Project 428.P3.Group 4,unity,unity,,2021.3.6f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\FireEmerald_VRLabyrinth\vrlab,unity,unity,,2018.3.14f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\fralvarezz_Intention-Prediction-VR-DNN,unity,unity,,2020.3.20f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\framefield_vr-annotate,unity,unity,,2017.1.0p4,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\fufjvnvnf_NYVRHack,unity,unity,,5.5.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\futurerealitylab_Holojam\Holojam,unity,unity,,5.3.5f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\GameLabGraz_Maroon\unity,unity,unity,,2022.3.33f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gatosyocora_VRCAvatarEditor,unity,unity,,2018.4.20f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gatosyocora_VRCPhotoAlbum\VRCPhotoAlbum\VRCPhotoAlbum.csproj,dotnet_project,dotnet,netcoreapp3.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gatosyocora_VRCPhotoAlbum\VRCPhotoAlbumTest\VRCPhotoAlbumTest.csproj,dotnet_project,dotnet,netcoreapp3.1,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame,unity,unity,,2018.3.3f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\Assembly-CSharp-Editor-firstpass.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\Assembly-CSharp-Editor.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\Assembly-CSharp-firstpass.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\Assembly-CSharp.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\SteamVR.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\SteamVR_Editor.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\SteamVR_Input_Editor.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles\TheGame\SteamVR_Windows_EditorHelper.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\giveaphuk_SteamVR_Unity_Toolkit,unity,unity,,5.3.5f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gompocp_VRChatMods\ActionMenuUtils\ActionMenuUtils.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gompocp_VRChatMods\IntegrityCheckGenerator\IntegrityCheckGenerator.csproj,dotnet_project,dotnet,netstandard2.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gompocp_VRChatMods\IntegrityCheckWeaver\IntegrityCheckWeaver.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gompocp_VRChatMods\StandaloneThirdPerson\StandaloneThirdPerson.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gompocp_VRChatMods\UpdateChecker\UpdateChecker.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gompocp_VRChatMods\WorldPredownload\WorldPredownload.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Gothic-UnZENity-Project_Gothic-UnZENity,unity,unity,,2022.3.30f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\gpvigano_VRTK-GearVR-Test,unity,unity,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\Halcyon\Halcyon.Data.Inventory.MySQL\Halcyon.Data.Inventory.MySQL.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\Halcyon\Halcyon.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.ApplicationPlugins\InWorldz.ApplicationPlugins.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.Arbiter\InWorldz.Arbiter.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.Data.Assets.Stratus\InWorldz.Data.Assets.Stratus.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.Phlox.Engine\InWorldz.Phlox.Engine.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.PhysxPhysics\InWorldz.PhysxPhysics.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.PhysxPhysics\Tests\PhysXtest\PhysXtest\PhysXtest.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.Region.Data.Thoosa\InWorldz.Region.Data.Thoosa.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.RemoteAdmin\InWorldz.RemoteAdmin.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\HalcyonGrid_halcyon\InWorldz\InWorldz.Testing\InWorldz.Testing.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
