project,loc,category,mechanism,api,owner,detail
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:172:27:172:58,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Unlit/Transparent; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:308:4:308:60,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Data stream was not a valid glTF format; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:318:4:318:47,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Only glTF 2.0 is supported; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:327:4:327:66,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=glTF header length does not match file length; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:357:4:357:52,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Read chunk does not match type.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:367:4:367:40,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=m_jsonData was null; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:374:4:374:50,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=No valid scenes in this glTF.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:763:4:763:50,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Unsupported image mimeType.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:776:4:776:59,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=Only KTX2 textures can be trascoded.; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:791:5:791:55,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=_MainTexMMBias; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRGLTFLoader.cs:790:20:790:52,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRGLTFLoader,callback=_MainTexMMBias; target name unresolvable (UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRHapticsClip.cs:131:14:131:18,Lifecycle-Driven State Flows,Initialization,Reset,OVRHapticsClip,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRHeadsetEmulator.cs:60:7:60:11,Lifecycle-Driven State Flows,Initialization,Start,OVRHeadsetEmulator,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRHeadsetEmulator.cs:64:7:64:12,Lifecycle-Driven State Flows,GameLogic,Update,OVRHeadsetEmulator,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRInput.cs:373:21:373:26,Lifecycle-Driven State Flows,GameLogic,Update,OVRInput,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRInput.cs:450:21:450:31,Lifecycle-Driven State Flows,Physics,FixedUpdate,OVRInput,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRInput.cs:2163:29:2163:34,Lifecycle-Driven State Flows,GameLogic,Update,OVRControllerBase,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
freiheit-diy,freiheit-diy/Assets/Oculus/VR/Scripts/OVRKtxTexture.cs:56:4:56:53,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OVRKtxTexture,callback=Failed to transcode KTX texture.; target name unresolvable (UnityEngine types unavailable)
